Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Salary,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Years_At_Company,YearsInCurrentRole,Years_Since_Promotion,YearsWithCurrManager,Attrition_Flag
21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,2174,Yes,3,3,3,3,3,3,2,1,2,1
36,No,Non-Travel,Sales,1,5,Medical,4,Female,3,2,Sales Executive,4,Single,6653,No,3,2,7,6,3,1,0,0,0,0
36,No,Travel_Frequently,Sales,3,4,Medical,1,Male,2,3,Sales Executive,4,Married,9699,No,3,1,16,2,3,13,9,1,12,0
57,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,2,Healthcare Representative,3,Married,6755,No,3,3,15,2,3,3,2,1,2,0
40,No,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,4,1,Laboratory Technician,3,Married,2213,Yes,3,3,10,3,3,7,7,1,7,0
21,No,Non-Travel,Sales,9,2,Medical,1,Male,3,1,Sales Representative,4,Single,2610,No,4,3,3,3,2,3,2,2,2,0
33,Yes,Travel_Rarely,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,3,Single,2851,Yes,3,2,1,2,3,1,0,0,0,1
37,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,1,Laboratory Technician,1,Married,3452,No,4,2,17,3,3,5,4,0,3,0
46,No,Non-Travel,Research & Development,7,4,Medical,3,Female,3,2,Manufacturing Director,3,Married,5258,No,3,3,7,2,4,1,0,0,0,0
41,Yes,Travel_Frequently,Sales,4,3,Marketing,1,Male,3,2,Sales Executive,2,Single,9355,No,3,3,8,5,3,8,7,7,7,1
50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,2,3,Healthcare Representative,4,Single,10496,No,3,4,20,2,3,4,3,1,3,0
40,Yes,Travel_Rarely,Sales,22,2,Marketing,3,Male,2,2,Sales Executive,3,Married,6380,Yes,3,1,8,6,3,6,4,1,0,1
31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,1,Research Scientist,2,Single,2657,Yes,3,4,3,5,3,2,2,2,2,0
21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,1,Sales Representative,2,Single,2716,No,3,4,1,0,3,1,0,0,0,1
29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,2201,No,3,4,6,4,3,3,2,1,2,0
35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,Single,6540,No,3,3,10,5,3,1,1,0,0,0
27,No,Travel_Rarely,Research & Development,1,2,Medical,4,Male,3,1,Laboratory Technician,2,Divorced,3816,No,3,2,5,2,3,5,2,0,4,0
28,No,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,5253,No,3,4,7,1,3,7,5,0,7,0
49,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,3,Healthcare Representative,3,Single,10965,No,4,3,26,2,3,5,2,0,0,0
51,No,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,3,2,Sales Executive,4,Married,4936,No,3,3,18,2,2,7,7,0,7,0
36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2543,No,3,2,6,3,3,2,2,2,2,0
34,Yes,Non-Travel,Sales,19,3,Marketing,1,Male,4,2,Sales Executive,4,Single,5304,Yes,3,2,9,3,2,5,2,0,4,1
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,3,4,Manager,4,Single,16659,Yes,3,3,30,2,3,5,4,1,2,0
24,No,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,2,Sales Executive,3,Divorced,4260,Yes,3,4,5,2,4,5,2,0,3,0
30,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,2,Married,2476,No,3,1,1,3,3,1,0,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,1,Research Scientist,1,Single,3102,No,4,3,7,2,3,6,4,0,4,1
22,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,1,Research Scientist,2,Married,2244,No,3,4,2,1,3,2,1,1,2,0
36,No,Travel_Rarely,Sales,2,2,Medical,2,Male,2,3,Sales Executive,3,Married,7596,No,3,2,10,2,3,10,9,9,0,0
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,3,1,Research Scientist,4,Single,2285,Yes,4,3,3,4,3,1,0,0,0,1
37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,3034,No,3,3,18,2,2,18,7,12,17,0
40,No,Travel_Rarely,Sales,2,2,Marketing,4,Female,3,2,Sales Executive,2,Divorced,5715,No,3,3,8,5,3,5,4,1,3,0
42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,1,Laboratory Technician,1,Divorced,2576,No,3,2,8,5,3,5,2,1,2,0
37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,2,Manufacturing Director,2,Single,4197,Yes,3,4,18,2,2,1,0,0,1,0
43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,14336,No,3,3,25,3,3,25,10,3,9,0
40,No,Travel_Rarely,Research & Development,2,3,Medical,2,Female,2,2,Laboratory Technician,3,Married,3448,No,4,2,20,3,3,1,0,0,0,0
54,No,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,19406,No,3,3,24,4,2,4,2,1,2,0
34,No,Non-Travel,Sales,4,4,Marketing,3,Female,3,2,Sales Executive,3,Married,6538,No,3,1,6,3,3,3,2,1,2,0
31,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,2,Manufacturing Director,1,Married,4306,No,3,2,13,5,1,13,10,3,12,0
43,No,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,1,Laboratory Technician,4,Married,2258,No,4,1,8,1,3,3,2,1,2,0
43,No,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,2,Healthcare Representative,3,Divorced,4522,Yes,3,4,8,3,3,5,2,0,2,0
25,No,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,4487,Yes,3,2,5,3,3,5,4,1,3,0
37,No,Non-Travel,Research & Development,25,5,Medical,2,Female,3,2,Research Scientist,3,Married,4449,Yes,3,1,15,2,3,13,11,10,7,0
31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,2218,No,3,3,4,3,3,4,2,3,2,0
39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,19197,Yes,3,3,21,3,3,21,8,1,6,0
56,No,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,13212,No,3,4,36,0,2,7,7,7,7,0
30,No,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,2,Sales Executive,3,Single,6577,No,3,2,6,6,3,5,4,4,4,0
41,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,4,3,Sales Executive,1,Married,8392,No,3,3,10,2,3,10,7,0,7,0
28,No,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,4558,No,3,4,10,2,3,10,0,1,8,0
25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,4031,No,3,3,6,5,3,2,2,0,2,1
52,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,2,3,Manufacturing Director,3,Married,7969,Yes,3,3,28,4,3,5,4,0,4,0
45,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,2654,No,4,4,8,3,2,2,2,0,2,0
52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,16555,No,3,4,31,2,1,5,2,1,4,0
42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,3,2,Research Scientist,3,Divorced,4556,No,3,2,19,3,3,5,4,0,2,0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,6091,No,4,3,11,2,3,5,4,0,2,0
60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,19566,No,3,4,33,5,1,29,8,11,10,0
46,No,Travel_Rarely,Research & Development,18,3,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,4810,No,3,3,19,5,2,10,7,0,8,0
42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,4523,No,3,4,7,4,4,6,5,0,4,0
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,3202,Yes,3,2,6,4,3,5,3,1,4,1
34,Yes,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,2351,No,3,4,3,3,2,2,2,1,0,1
38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,Yes,4,3,1,3,3,1,0,0,0,0
40,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,3,5,Manager,3,Married,18041,No,3,4,21,2,3,20,15,1,12,0
26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,2886,No,4,2,3,3,1,3,2,0,2,0
30,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,2097,No,3,3,9,3,1,5,3,1,4,0
29,No,Travel_Rarely,Research & Development,3,4,Medical,2,Male,2,3,Research Director,3,Married,11935,No,3,3,10,2,3,10,2,0,7,0
29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,2,1,Research Scientist,2,Married,2546,No,3,2,6,2,4,2,2,1,1,1
19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,2564,No,3,3,1,3,4,1,0,0,0,1
30,No,Non-Travel,Sales,22,4,Other,3,Female,3,3,Sales Executive,1,Married,8412,No,3,3,10,3,3,9,8,7,8,0
57,No,Travel_Rarely,Sales,29,3,Marketing,1,Male,2,4,Manager,4,Divorced,14118,No,3,3,32,3,2,1,0,0,0,0
50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,17046,No,3,2,28,2,3,27,10,15,7,0
30,No,Non-Travel,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,No,3,3,12,2,2,11,7,6,7,0
60,No,Travel_Frequently,Sales,28,3,Marketing,3,Female,2,3,Sales Executive,1,Married,10266,No,3,4,22,5,4,18,13,13,11,0
47,No,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,5070,No,3,3,20,2,3,5,0,0,4,0
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,3,4,Research Director,3,Married,17861,No,3,3,26,2,1,3,2,0,1,0
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Single,4230,No,3,3,6,2,3,5,4,4,3,0
54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,3780,No,3,3,19,3,3,1,0,0,0,0
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,2768,No,3,3,14,3,3,7,3,5,7,0
46,No,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,9071,Yes,3,3,15,3,3,3,2,1,2,0
31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,10648,No,4,4,13,6,4,13,8,0,8,0
33,Yes,Travel_Rarely,Research & Development,15,1,Medical,2,Male,3,3,Manager,3,Married,13610,Yes,3,4,15,2,4,7,6,7,7,1
33,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,1,Laboratory Technician,4,Divorced,3408,No,3,1,8,2,3,4,3,1,3,1
30,No,Travel_Rarely,Sales,7,1,Marketing,4,Male,3,1,Sales Representative,2,Single,2983,No,3,1,4,3,3,3,2,1,2,0
35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,3,3,Healthcare Representative,3,Married,7632,Yes,3,3,10,2,3,8,7,0,0,0
31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,Married,9824,No,3,1,12,2,3,1,0,0,0,1
34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,2,Female,3,3,Human Resources,1,Divorced,9950,Yes,3,3,11,2,3,3,2,0,2,1
42,No,Travel_Frequently,Research & Development,5,2,Other,2,Male,3,1,Laboratory Technician,3,Married,2093,No,3,4,8,4,3,2,2,2,0,0
36,No,Non-Travel,Sales,10,4,Medical,2,Male,3,3,Sales Executive,4,Single,9980,No,3,4,10,3,2,10,3,9,7,0
22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,3894,No,3,3,4,3,3,2,2,1,2,1
48,No,Travel_Rarely,Sales,2,5,Marketing,2,Female,3,2,Sales Executive,4,Married,4051,No,3,1,14,2,3,9,7,6,7,0
55,No,Travel_Rarely,Sales,18,5,Life Sciences,1,Female,3,4,Manager,2,Single,16835,No,4,4,37,2,3,10,9,7,7,0
41,No,Non-Travel,Sales,10,2,Life Sciences,4,Male,3,2,Sales Executive,4,Single,6230,No,3,4,16,3,3,14,3,1,10,0
35,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,3,2,Sales Executive,3,Married,4717,No,3,3,15,2,3,11,9,6,9,0
40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,Single,13237,No,3,3,22,3,3,20,6,5,13,0
39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Female,3,1,Laboratory Technician,3,Married,3755,No,3,1,8,3,3,8,3,0,7,0
31,No,Travel_Rarely,Sales,2,1,Life Sciences,2,Male,3,2,Sales Executive,4,Single,6582,Yes,3,3,10,2,4,6,5,0,5,0
42,No,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,3,Manufacturing Director,1,Married,7406,Yes,4,4,10,5,2,10,9,5,8,0
45,No,Travel_Rarely,Sales,2,3,Other,4,Male,3,2,Sales Executive,2,Married,4805,No,3,2,9,3,4,8,7,3,7,0
26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,2741,Yes,3,2,8,2,2,7,7,1,0,1
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Divorced,4262,No,3,2,8,2,4,3,2,1,2,0
33,No,Travel_Rarely,Research & Development,1,5,Medical,1,Female,4,4,Research Director,3,Divorced,16184,No,3,3,10,2,3,6,1,0,5,0
31,No,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,2,3,Manager,4,Divorced,11557,No,4,3,10,3,2,5,4,0,1,0
18,Yes,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,Yes,3,4,0,3,3,0,0,0,0,1
40,No,Non-Travel,Sales,28,3,Other,3,Male,1,3,Sales Executive,1,Divorced,10932,No,3,3,20,2,3,1,0,0,1,0
41,No,Non-Travel,Research & Development,2,4,Other,1,Female,2,2,Healthcare Representative,3,Single,6811,Yes,3,1,10,3,3,8,7,0,7,0
26,No,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,4306,No,3,1,8,5,3,0,0,0,0,0
35,No,Travel_Rarely,Sales,1,3,Medical,1,Female,3,2,Sales Executive,3,Single,4859,No,3,4,5,3,3,5,4,0,3,0
34,No,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,4,2,Sales Executive,4,Single,5337,No,3,4,10,3,3,10,7,5,7,0
26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,2340,Yes,3,2,1,3,1,1,0,0,0,1
37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,2,Female,3,3,Manufacturing Director,4,Single,7491,No,3,4,12,3,4,6,5,1,2,0
46,No,Travel_Frequently,Research & Development,18,1,Medical,1,Female,3,3,Healthcare Representative,3,Married,10527,No,3,4,28,3,2,2,2,1,2,0
41,No,Travel_Rarely,Sales,2,5,Life Sciences,2,Female,3,4,Manager,1,Married,16595,No,3,2,22,2,3,18,16,11,8,0
37,No,Non-Travel,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,8834,No,3,4,9,6,3,9,5,7,7,0
52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,4,Male,3,2,Research Scientist,1,Divorced,5577,Yes,3,2,18,3,3,10,9,6,9,0
32,Yes,Non-Travel,Sales,11,4,Other,4,Male,4,2,Sales Executive,3,Married,4707,No,3,4,6,2,3,4,2,1,2,1
24,No,Travel_Frequently,Sales,24,3,Medical,4,Male,3,1,Sales Representative,4,Married,2400,No,3,3,3,3,3,2,2,2,1,0
38,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,9824,No,3,3,18,4,3,1,0,0,0,0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,2,Manufacturing Director,2,Married,6447,No,3,2,8,2,2,6,5,4,3,0
49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,4,Male,2,5,Research Director,3,Divorced,19502,Yes,3,3,31,5,3,31,9,0,9,0
24,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,2725,Yes,3,2,6,3,3,6,5,1,4,0
26,No,Travel_Rarely,Sales,28,2,Marketing,1,Male,3,2,Sales Executive,2,Married,6272,No,4,4,6,5,4,5,3,1,4,0
24,No,Travel_Rarely,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,2127,No,4,4,1,2,3,1,0,0,0,0
50,No,Travel_Frequently,Human Resources,3,3,Medical,1,Male,3,5,Manager,2,Married,18200,No,3,3,32,2,3,32,5,10,7,0
25,No,Travel_Rarely,Sales,13,1,Medical,2,Male,3,1,Sales Representative,3,Married,2096,No,3,3,7,1,3,7,4,0,6,0
24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,2886,Yes,3,4,6,4,3,6,3,1,2,1
30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,2,Male,2,1,Sales Representative,1,Married,2033,No,3,3,1,2,4,1,0,0,0,1
34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,2,1,Research Scientist,4,Married,3622,Yes,3,4,6,3,3,6,5,1,3,0
31,Yes,Travel_Rarely,Sales,13,4,Medical,2,Male,3,2,Sales Executive,1,Divorced,4233,No,3,3,9,2,1,3,1,1,2,1
35,No,Travel_Rarely,Research & Development,25,2,Other,1,Male,2,2,Laboratory Technician,4,Single,3681,No,3,4,9,3,3,3,2,0,2,0
31,No,Travel_Rarely,Sales,6,4,Medical,1,Male,4,2,Sales Executive,4,Divorced,5460,No,4,4,13,4,4,7,7,5,7,0
27,No,Travel_Rarely,Research & Development,6,4,Medical,1,Female,2,1,Research Scientist,3,Divorced,2187,No,3,3,6,5,2,5,3,0,3,0
37,No,Travel_Rarely,Sales,2,3,Marketing,4,Male,3,2,Sales Executive,3,Married,9602,Yes,3,3,17,3,2,3,0,1,0,0
20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,1,Research Scientist,2,Single,2836,No,3,4,1,0,4,1,0,0,0,0
42,No,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Female,3,2,Healthcare Representative,4,Married,4089,No,3,2,10,4,3,10,2,2,2,0
43,No,Travel_Rarely,Research & Development,6,4,Other,2,Male,2,4,Research Director,4,Divorced,16627,Yes,3,3,21,3,2,1,0,0,0,0
38,No,Travel_Rarely,Research & Development,1,1,Life Sciences,3,Female,3,1,Research Scientist,1,Single,2619,No,3,4,8,3,2,0,0,0,0,0
43,No,Travel_Frequently,Research & Development,9,5,Medical,4,Male,3,2,Laboratory Technician,3,Divorced,5679,Yes,3,2,10,3,3,8,7,4,7,0
48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,4,Female,2,4,Manager,1,Married,15402,No,3,1,21,3,1,3,2,0,2,0
44,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,Female,2,2,Human Resources,3,Single,5985,No,3,2,10,1,4,2,2,0,2,0
34,No,Travel_Rarely,Sales,14,3,Technical Degree,3,Female,3,1,Sales Representative,3,Divorced,2579,Yes,3,4,8,3,3,8,2,0,6,0
27,Yes,Travel_Rarely,Sales,2,1,Marketing,3,Male,3,1,Sales Representative,1,Divorced,3041,No,3,2,5,3,3,4,3,0,2,1
21,No,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,3447,No,3,3,3,2,3,3,2,1,2,0
44,No,Travel_Rarely,Research & Development,3,4,Other,4,Male,3,5,Manager,4,Married,19513,Yes,3,1,26,2,4,2,2,0,1,0
22,No,Travel_Rarely,Research & Development,6,1,Medical,1,Male,3,1,Research Scientist,3,Married,2773,No,4,4,3,3,3,2,2,2,2,0
33,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,3,Divorced,7104,No,3,4,6,3,3,5,0,1,2,0
32,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,Female,3,2,Research Scientist,4,Married,6322,Yes,3,4,6,2,2,6,4,0,5,0
30,No,Travel_Frequently,Research & Development,3,3,Medical,3,Female,3,1,Research Scientist,3,Divorced,2083,No,4,3,1,2,3,1,0,0,0,0
53,No,Travel_Rarely,Sales,1,1,Medical,4,Female,3,2,Sales Executive,1,Single,8381,No,4,4,18,2,4,14,7,8,10,0
34,No,Travel_Rarely,Research & Development,1,5,Life Sciences,2,Male,3,1,Research Scientist,4,Married,2691,No,3,4,10,4,2,10,9,8,8,0
45,Yes,Travel_Frequently,Sales,26,4,Life Sciences,1,Female,3,2,Sales Executive,1,Married,4286,No,3,4,5,4,3,1,1,0,0,1
26,No,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,2659,Yes,3,3,3,2,3,3,2,0,2,0
37,No,Travel_Rarely,Research & Development,3,3,Other,3,Male,3,3,Manufacturing Director,3,Married,9434,No,3,3,10,2,3,10,7,7,8,0
29,No,Travel_Rarely,Sales,3,2,Medical,2,Female,3,2,Sales Executive,3,Married,5561,No,3,1,6,5,2,6,0,1,2,0
35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,2,Male,1,2,Research Scientist,4,Single,6646,No,3,2,17,3,3,17,11,11,8,0
33,No,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,3,2,Healthcare Representative,4,Divorced,7725,No,4,3,15,2,1,13,11,4,7,0
54,No,Travel_Rarely,Human Resources,19,4,Medical,3,Male,3,3,Human Resources,2,Married,10725,No,3,3,16,1,4,9,7,7,1,0
36,No,Travel_Rarely,Research & Development,9,2,Medical,2,Male,2,2,Manufacturing Director,2,Divorced,8847,Yes,3,3,13,2,3,3,2,0,2,0
27,No,Travel_Rarely,Research & Development,3,4,Medical,1,Male,2,1,Research Scientist,4,Single,2045,No,3,4,5,0,3,4,2,1,1,0
20,Yes,Travel_Rarely,Research & Development,10,1,Medical,4,Male,3,1,Research Scientist,3,Single,1009,Yes,3,4,1,5,3,1,0,1,1,1
33,Yes,Travel_Frequently,Research & Development,3,3,Life Sciences,1,Male,3,1,Research Scientist,1,Single,3348,Yes,3,1,10,3,3,10,8,9,7,1
35,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Married,1281,No,3,3,1,3,3,1,0,0,0,0
23,No,Travel_Rarely,Research & Development,4,3,Medical,1,Male,4,1,Research Scientist,1,Married,2819,No,3,1,5,3,4,3,2,0,2,0
25,No,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,4,2,Sales Executive,2,Married,4851,No,4,3,4,4,3,3,2,1,2,0
38,No,Travel_Rarely,Sales,7,4,Marketing,4,Female,2,2,Sales Executive,4,Single,4028,No,4,1,8,2,3,7,7,0,5,0
29,No,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Male,1,1,Research Scientist,4,Divorced,2720,No,3,4,10,5,3,10,7,2,8,0
48,No,Travel_Rarely,Sales,2,1,Marketing,2,Male,4,2,Sales Executive,2,Married,8120,No,3,4,12,3,3,2,2,2,2,0
27,No,Travel_Frequently,Sales,3,1,Medical,4,Female,4,2,Sales Executive,4,Divorced,4647,Yes,4,2,6,3,3,6,5,0,4,0
37,No,Travel_Rarely,Research & Development,10,2,Life Sciences,4,Male,4,1,Research Scientist,4,Single,4680,No,3,1,4,2,3,1,0,0,0,0
50,No,Travel_Rarely,Research & Development,28,1,Medical,4,Male,4,1,Laboratory Technician,3,Married,3221,Yes,3,3,20,3,3,20,8,3,8,0
34,No,Travel_Rarely,Research & Development,9,3,Medical,4,Female,2,3,Healthcare Representative,2,Single,8621,No,3,2,9,3,4,8,7,7,7,0
24,Yes,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,3,2,Sales Executive,3,Single,4577,No,3,1,4,3,3,2,2,2,0,1
39,No,Travel_Rarely,Research & Development,2,4,Technical Degree,4,Female,2,2,Healthcare Representative,3,Single,4553,No,3,1,20,4,3,20,7,11,10,0
32,No,Travel_Rarely,Sales,10,3,Marketing,4,Male,3,2,Sales Executive,4,Single,5396,No,3,4,10,2,2,10,7,0,8,0
50,Yes,Travel_Frequently,Sales,8,2,Technical Degree,2,Male,3,2,Sales Executive,3,Married,6796,Yes,3,1,18,4,3,4,3,1,3,1
38,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,4,2,Healthcare Representative,4,Single,7625,No,3,3,10,4,2,9,7,1,8,0
27,No,Travel_Rarely,Research & Development,1,2,Life Sciences,3,Female,3,3,Manufacturing Director,1,Married,7412,No,3,4,9,3,3,9,7,0,7,0
32,No,Travel_Rarely,Research & Development,3,2,Life Sciences,3,Female,3,3,Research Director,4,Single,11159,No,3,4,10,6,3,7,7,7,7,0
47,No,Travel_Rarely,Sales,14,4,Marketing,4,Male,3,2,Sales Executive,1,Single,4960,No,3,4,20,2,3,7,7,1,7,0
40,No,Travel_Frequently,Sales,5,4,Life Sciences,4,Male,2,3,Sales Executive,1,Married,10475,Yes,4,3,20,2,3,18,13,1,12,0
53,No,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Male,4,4,Research Director,3,Married,14814,No,3,3,32,3,3,5,1,1,3,0
41,No,Travel_Rarely,Human Resources,10,4,Human Resources,2,Male,2,5,Manager,4,Divorced,19141,No,3,2,23,2,2,21,6,12,6,0
60,No,Travel_Rarely,Sales,16,4,Marketing,1,Male,3,2,Sales Executive,1,Single,5405,No,3,4,10,1,3,2,2,2,2,0
27,No,Travel_Frequently,Research & Development,10,2,Life Sciences,4,Male,3,3,Manufacturing Director,1,Divorced,8793,No,4,3,9,4,2,9,7,1,7,0
41,No,Travel_Rarely,Human Resources,1,3,Human Resources,4,Male,2,5,Manager,3,Married,19189,No,3,2,22,3,3,22,7,2,10,0
50,No,Travel_Rarely,Sales,8,4,Marketing,4,Male,3,1,Sales Representative,2,Married,3875,No,3,4,4,2,3,2,2,2,2,0
